,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
63298,Rolling In The Deep,Adele,2,6,16,2,False,2011-05-04,spotify:track:1c8gk2PeTE04A1pIDH9YMk
63299,Just Can't Get Enough,The Black Eyed Peas,3,3,10,3,False,2011-05-04,spotify:track:3irR8u6bJNsyNA6TWlFe0R
63300,S&M,Rihanna Featuring Britney Spears,1,1,15,4,False,2011-05-04,spotify:track:7ySUcLPVX7KudhnmNcgY2D
63301,Down On Me,Jeremih Featuring 50 Cent,4,4,24,5,False,2011-05-04,spotify:track:0x3TibRgnSqzkcwrqBd4iX
63302,The Lazy Song,Bruno Mars,6,11,9,6,False,2011-05-04,spotify:track:1ExfPZEiahqhLyajhybFeS
63303,On The Floor,Jennifer Lopez Featuring Pitbull,5,8,9,7,False,2011-05-04,spotify:track:0w3Q14i073jLoew1hgJkwD
63304,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,6,7,12,8,False,2011-05-04,spotify:track:3hsmbFKT5Cujb5GQjqEU39
63305,Blow,Ke$ha,7,12,14,9,False,2011-05-04,spotify:track:6OeGJKmvkUbBLeG1DuHiv6
63306,F**k You! (Forget You),CeeLo Green,2,5,35,10,False,2011-05-04,spotify:track:5GvWrvLIqoHroq7YvO260M
63307,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,8,9,8,11,False,2011-05-04,spotify:track:38iU2jg98IZZEIJPrP7aWD
63308,Judas,Lady Gaga,10,10,2,12,False,2011-05-04,spotify:track:0QkWikH5Z3U0f79T9iuF6c
63309,Written In The Stars,Tinie Tempah Featuring Eric Turner,13,14,10,13,False,2011-05-04,spotify:track:61HQWI1Woxup7CnGwVUsdI
63310,The Show Goes On,Lupe Fiasco,14,15,17,14,False,2011-05-04,spotify:track:4NTWZqvfQTlOMitlVn6tew
63311,Born This Way,Lady Gaga,1,13,11,15,False,2011-05-04,spotify:track:6r2BECwMgEoRb5yLfp0Hca
63312,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,4,18,12,16,False,2011-05-04,spotify:track:70ATm56tH7OrQ1zurYssz0
63313,Roll Up,Wiz Khalifa,17,21,11,17,False,2011-05-04,spotify:track:53DB6LJV9B8sz0p1s6tlGS
63314,F**kin' Perfect,P!nk,2,16,17,18,False,2011-05-04,spotify:track:3MGJF1CDFGfjXESL2Heva0
63315,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",17,20,4,19,False,2011-05-04,spotify:track:1IJYb2qBTHMoDzHgsuA86H
63316,All Of The Lights,Kanye West,19,19,17,20,False,2011-05-04,spotify:track:22L7bfCiAkJo5xGSQgmiIO
63317,Moment 4 Life,Nicki Minaj Featuring Drake,13,17,19,21,False,2011-05-04,spotify:track:1ia019RqDK2o4QiANR1Dyn
63318,Country Girl (Shake It For Me),Luke Bryan,22,0,1,22,True,2011-05-04,spotify:track:0JbSghVDghtFEurrSO8JrC
63319,Price Tag,Jessie J Featuring B.o.B,23,24,12,23,False,2011-05-04,spotify:track:5mvKuE9Lf9ARVXVXA32kK9
63320,Firework,Katy Perry,1,22,27,24,False,2011-05-04,spotify:track:4r6eNCsrZnQWJzzvFh4nlg
63321,Who Says,Selena Gomez & The Scene,24,37,6,25,False,2011-05-04,spotify:track:3TcL0dyCMyr0kyTTc4NLgI
63397,Rolling In The Deep,Adele,1,1,20,1,False,2011-06-04,spotify:track:1c8gk2PeTE04A1pIDH9YMk
63398,E.T.,Katy Perry Featuring Kanye West,1,2,15,2,False,2011-06-04,spotify:track:26OmI3F6zTMFQfpJf9rLvs
63399,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",3,4,8,3,False,2011-06-04,spotify:track:1IJYb2qBTHMoDzHgsuA86H
63400,Just Can't Get Enough,The Black Eyed Peas,3,5,14,4,False,2011-06-04,spotify:track:3irR8u6bJNsyNA6TWlFe0R
63401,On The Floor,Jennifer Lopez Featuring Pitbull,3,6,13,5,False,2011-06-04,spotify:track:0w3Q14i073jLoew1hgJkwD
63402,The Lazy Song,Bruno Mars,5,7,13,6,False,2011-06-04,spotify:track:1ExfPZEiahqhLyajhybFeS
63403,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,3,8,12,7,False,2011-06-04,spotify:track:38iU2jg98IZZEIJPrP7aWD
63404,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,8,20,9,8,False,2011-06-04,spotify:track:0IkKz2J93C94Ei4BvDop7P
63405,The Show Goes On,Lupe Fiasco,9,12,21,9,False,2011-06-04,spotify:track:4NTWZqvfQTlOMitlVn6tew
63406,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,6,9,16,10,False,2011-06-04,spotify:track:3hsmbFKT5Cujb5GQjqEU39
63407,Down On Me,Jeremih Featuring 50 Cent,4,10,28,11,False,2011-06-04,spotify:track:0x3TibRgnSqzkcwrqBd4iX
63408,Hair,Lady Gaga,12,0,1,12,True,2011-06-04,spotify:track:2uk0YH2ahN0UE5jaCMa5jn
63409,Roll Up,Wiz Khalifa,13,17,15,13,False,2011-06-04,spotify:track:53DB6LJV9B8sz0p1s6tlGS
63410,S&M,Rihanna Featuring Britney Spears,1,11,19,14,False,2011-06-04,spotify:track:7ySUcLPVX7KudhnmNcgY2D
63411,Super Bass,Nicki Minaj,15,22,4,15,False,2011-06-04,spotify:track:3hlksXnvbKogFdPbpO9vel
63412,Written In The Stars,Tinie Tempah Featuring Eric Turner,12,16,14,16,False,2011-06-04,spotify:track:61HQWI1Woxup7CnGwVUsdI
63413,F**k You! (Forget You),CeeLo Green,2,13,39,17,False,2011-06-04,spotify:track:5GvWrvLIqoHroq7YvO260M
63414,Blow,Ke$ha,7,15,18,18,False,2011-06-04,spotify:track:6OeGJKmvkUbBLeG1DuHiv6
63415,The Edge Of Glory,Lady Gaga,3,3,2,19,False,2011-06-04,spotify:track:5bdE4ddN4lknkXmvegBf2k
63416,Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,18,18,2,20,False,2011-06-04,spotify:track:1ciQU7ZQGHq129m3njp9en
63417,Motivation,Kelly Rowland Featuring Lil Wayne,21,26,6,21,False,2011-06-04,spotify:track:0rIAC4PXANcKmitJfoqmVm
63418,Just A Kiss,Lady Antebellum,7,14,3,22,False,2011-06-04,spotify:track:2OXidlnDThZR3zf36k6DVL
63419,Honey Bee,Blake Shelton,13,25,7,23,False,2011-06-04,spotify:track:0gY2iq0xJPRoIB1PScKSw4
63420,Born This Way,Lady Gaga,1,19,15,24,False,2011-06-04,spotify:track:6r2BECwMgEoRb5yLfp0Hca
63421,F**kin' Perfect,P!nk,2,21,21,25,False,2011-06-04,spotify:track:3MGJF1CDFGfjXESL2Heva0
63497,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1,2,13,1,False,2011-07-04,spotify:track:1IJYb2qBTHMoDzHgsuA86H
63498,Rolling In The Deep,Adele,1,1,25,2,False,2011-07-04,spotify:track:1c8gk2PeTE04A1pIDH9YMk
63499,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,3,3,14,3,False,2011-07-04,spotify:track:0IkKz2J93C94Ei4BvDop7P
63500,Last Friday Night (T.G.I.F.),Katy Perry,4,4,5,4,False,2011-07-04,spotify:track:3avYqdwHKEq8beXbeWCKqJ
63501,Super Bass,Nicki Minaj,5,8,9,5,False,2011-07-04,spotify:track:3hlksXnvbKogFdPbpO9vel
63502,The Edge Of Glory,Lady Gaga,3,6,7,6,False,2011-07-04,spotify:track:5bdE4ddN4lknkXmvegBf2k
63503,E.T.,Katy Perry Featuring Kanye West,1,5,20,7,False,2011-07-04,spotify:track:26OmI3F6zTMFQfpJf9rLvs
