,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
65912,#Beautiful,Mariah Carey Featuring Miguel,15,15,7,16,False,2013-07-04,spotify:track:2rxQMGVafnNaRaXlRMWPde
65913,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,17,18,26,17,False,2013-07-04,spotify:track:6mH3qVIeOsnQIAho5eWwhH
65914,Stay,Rihanna Featuring Mikky Ekko,3,16,20,18,False,2013-07-04,spotify:track:5HCyWlXZPP0y6Gqq8TgA20
65915,I Want Crazy,Hunter Hayes,19,31,11,19,False,2013-07-04,spotify:track:4FkgULes13bk2eHrsJg4q9
65916,When I Was Your Man,Bruno Mars,1,17,27,20,False,2013-07-04,spotify:track:0nJW01T7XtvILxQgC5J7Wh
65917,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,19,38,21,False,2013-07-04,spotify:track:6CjtS2JZH9RkDz5UVInsa9
65918,Love Somebody,Maroon 5,22,24,5,22,False,2013-07-04,spotify:track:0HnaqUxvHP5LaWdmWwJpiS
65919,Power Trip,J. Cole Featuring Miguel,20,21,19,23,False,2013-07-04,spotify:track:2uwnP6tZVVmTovzX5ELooy
65920,I Need Your Love,Calvin Harris Featuring Ellie Goulding,24,30,10,24,False,2013-07-04,spotify:track:05SBRd4fXgn8FX7bf8BCAE
65921,The Other Side,Jason Derulo,25,25,10,25,False,2013-07-04,spotify:track:5FljCWR0cys07PQ9277GTz
65997,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,1,15,1,False,2013-08-04,spotify:track:0n4bITAu0Y0nigrz3MFJMb
65998,Best Song Ever,One Direction,2,0,1,2,True,2013-08-04,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0
65999,We Can't Stop,Miley Cyrus,2,2,8,3,False,2013-08-04,spotify:track:2y4lAQpi5VTNLu2ldeTdUH
66000,Radioactive,Imagine Dragons,3,3,48,4,False,2013-08-04,spotify:track:4G8gkOterJn0Ywt6uhqbhp
66001,Get Lucky,Daft Punk Featuring Pharrell Williams,2,4,15,5,False,2013-08-04,spotify:track:2Foc5Q5nqNiosCNqttzHof
66002,Treasure,Bruno Mars,5,5,11,6,False,2013-08-04,spotify:track:55h7vJchibLdUkxdlX3fK7
66003,Holy Grail,Jay Z Featuring Justin Timberlake,7,8,3,7,False,2013-08-04,spotify:track:37jTPJgwCCmIGMPB45jrPV
66004,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,8,9,31,8,False,2013-08-04,spotify:track:6mH3qVIeOsnQIAho5eWwhH
66005,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1,6,25,9,False,2013-08-04,spotify:track:7GRu6XaTVRIdV4E0Ty4QGX
66006,Cruise,Florida Georgia Line Featuring Nelly,4,7,43,10,False,2013-08-04,spotify:track:0i5el041vd6nxrGEU8QRxy
66007,Mirrors,Justin Timberlake,2,10,24,11,False,2013-08-04,spotify:track:4rHZZAmHpZrA3iH5zx8frV
66008,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,11,11,20,12,False,2013-08-04,spotify:track:1BZG99C7Co1r6QUC3zaS59
66009,Clarity,Zedd Featuring Foxes,13,13,19,13,False,2013-08-04,spotify:track:60wwxj6Dd9NJlirf84wr2c
66010,Love Somebody,Maroon 5,12,12,10,14,False,2013-08-04,spotify:track:0HnaqUxvHP5LaWdmWwJpiS
66011,Safe And Sound,Capital Cities,15,16,13,15,False,2013-08-04,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb
66012,Come & Get It,Selena Gomez,6,15,16,16,False,2013-08-04,spotify:track:5nFGgRVB2w2xZdrGAyMzlB
66013,The Way,Ariana Grande Featuring Mac Miller,9,14,18,17,False,2013-08-04,spotify:track:6IyoLWzljeR3ldQo4KWHT6
66014,The Other Side,Jason Derulo,18,18,15,18,False,2013-08-04,spotify:track:5FljCWR0cys07PQ9277GTz
66015,I Need Your Love,Calvin Harris Featuring Ellie Goulding,17,19,15,19,False,2013-08-04,spotify:track:05SBRd4fXgn8FX7bf8BCAE
66016,Just Give Me A Reason,P!nk Featuring Nate Ruess,1,17,24,20,False,2013-08-04,spotify:track:1mKXFLRA179hdOWQBwUk9e
66017,Baby I,Ariana Grande,21,0,1,21,True,2013-08-04,spotify:track:6NmCCgnQcxKHPOAKgd9Nth
66018,I Want Crazy,Hunter Hayes,19,22,16,22,False,2013-08-04,spotify:track:4FkgULes13bk2eHrsJg4q9
66019,I Love It,Icona Pop Featuring Charli XCX,7,21,26,23,False,2013-08-04,spotify:track:474uVhyGgK5MtY9gMcDgGl
66020,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,20,20,16,24,False,2013-08-04,spotify:track:0HFrCOmhCYXlv4NdEwRAuj
66021,Runnin' Outta Moonlight,Randy Houser,25,28,12,25,False,2013-08-04,spotify:track:6enPOmd3vSFpI4jjms8kXN
66097,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,1,19,1,False,2013-09-04,spotify:track:0n4bITAu0Y0nigrz3MFJMb
66098,Roar,Katy Perry,2,2,3,2,False,2013-09-04,spotify:track:27tNWlhdAryQY04Gb2ZhUI
66099,We Can't Stop,Miley Cyrus,2,3,12,3,False,2013-09-04,spotify:track:2y4lAQpi5VTNLu2ldeTdUH
66100,Applause,Lady Gaga,4,6,2,4,False,2013-09-04,spotify:track:5ka2ajep9OAvU5Sgduhiex
66101,Radioactive,Imagine Dragons,3,4,52,5,False,2013-09-04,spotify:track:4G8gkOterJn0Ywt6uhqbhp
66102,Holy Grail,Jay Z Featuring Justin Timberlake,5,5,7,6,False,2013-09-04,spotify:track:37jTPJgwCCmIGMPB45jrPV
66103,Wake Me Up!,Avicii,7,11,9,7,False,2013-09-04,spotify:track:0nrRP2bk19rLc0orkWPQk2
66104,Safe And Sound,Capital Cities,8,10,17,8,False,2013-09-04,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb
66105,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,9,15,7,9,False,2013-09-04,spotify:track:60illGAm43KKvJEe0Xh4sJ
66106,Get Lucky,Daft Punk Featuring Pharrell Williams,2,7,19,10,False,2013-09-04,spotify:track:2Foc5Q5nqNiosCNqttzHof
66107,Treasure,Bruno Mars,5,8,15,11,False,2013-09-04,spotify:track:55h7vJchibLdUkxdlX3fK7
66108,Royals,Lorde,12,17,8,12,False,2013-09-04,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3
66109,Clarity,Zedd Featuring Foxes,8,12,23,13,False,2013-09-04,spotify:track:60wwxj6Dd9NJlirf84wr2c
66110,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,6,9,35,14,False,2013-09-04,spotify:track:6mH3qVIeOsnQIAho5eWwhH
66111,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,11,14,24,15,False,2013-09-04,spotify:track:1BZG99C7Co1r6QUC3zaS59
66112,Love Somebody,Maroon 5,10,13,14,16,False,2013-09-04,spotify:track:0HnaqUxvHP5LaWdmWwJpiS
66113,"Hold On, We're Going Home",Drake Featuring Majid Jordan,17,24,3,17,False,2013-09-04,spotify:track:2aSC2xhRxOLiiZZVjhbylH
66114,Best Song Ever,One Direction,2,21,5,18,False,2013-09-04,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0
66115,That's My Kind Of Night,Luke Bryan,16,16,2,19,False,2013-09-04,spotify:track:5HGibWoxnkYSkl6mHmAlOE
66116,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1,18,29,20,False,2013-09-04,spotify:track:7GRu6XaTVRIdV4E0Ty4QGX
66117,Mirrors,Justin Timberlake,2,20,28,21,False,2013-09-04,spotify:track:4rHZZAmHpZrA3iH5zx8frV
66118,I Need Your Love,Calvin Harris Featuring Ellie Goulding,16,23,19,22,False,2013-09-04,spotify:track:05SBRd4fXgn8FX7bf8BCAE
66119,Cruise,Florida Georgia Line Featuring Nelly,4,19,47,23,False,2013-09-04,spotify:track:0i5el041vd6nxrGEU8QRxy
66120,"Gone, Gone, Gone",Phillip Phillips,24,26,25,24,False,2013-09-04,spotify:track:56sxN1yKg1dgOZXBcAHkJG
66121,Sail,AWOLNATION,25,29,51,25,False,2013-09-04,spotify:track:7ueP5u2qkdZbIPN2YA6LR0
66197,Wrecking Ball,Miley Cyrus,1,1,5,1,False,2013-10-04,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE
66198,Roar,Katy Perry,1,2,7,2,False,2013-10-04,spotify:track:27tNWlhdAryQY04Gb2ZhUI
66199,Royals,Lorde,3,3,12,3,False,2013-10-04,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3
66200,Wake Me Up!,Avicii,4,5,13,4,False,2013-10-04,spotify:track:0nrRP2bk19rLc0orkWPQk2
66201,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,1,4,23,5,False,2013-10-04,spotify:track:0n4bITAu0Y0nigrz3MFJMb
66202,Holy Grail,Jay Z Featuring Justin Timberlake,4,6,11,6,False,2013-10-04,spotify:track:37jTPJgwCCmIGMPB45jrPV
66203,"Hold On, We're Going Home",Drake Featuring Majid Jordan,7,9,7,7,False,2013-10-04,spotify:track:2aSC2xhRxOLiiZZVjhbylH
66204,Applause,Lady Gaga,4,7,6,8,False,2013-10-04,spotify:track:5ka2ajep9OAvU5Sgduhiex
66205,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,6,10,11,9,False,2013-10-04,spotify:track:60illGAm43KKvJEe0Xh4sJ
66206,Safe And Sound,Capital Cities,8,12,21,10,False,2013-10-04,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb
66207,Berzerk,Eminem,3,8,4,11,False,2013-10-04,spotify:track:6Xk7PnitV9jCRorWt2LiVZ
66208,Work B**ch!,Britney Spears,12,0,1,12,True,2013-10-04,spotify:track:6rij5OZoU4FSA2lTbFmRgi
66209,The Fox,Ylvis,13,25,3,13,False,2013-10-04,spotify:track:5HOpkTTVcmZHnthgyxrIL8
66210,Radioactive,Imagine Dragons,3,13,56,14,False,2013-10-04,spotify:track:4G8gkOterJn0Ywt6uhqbhp
66211,We Can't Stop,Miley Cyrus,2,11,16,15,False,2013-10-04,spotify:track:2y4lAQpi5VTNLu2ldeTdUH
66212,That's My Kind Of Night,Luke Bryan,15,15,6,16,False,2013-10-04,spotify:track:5HGibWoxnkYSkl6mHmAlOE
66213,Dark Horse,Katy Perry Featuring Juicy J,17,0,1,17,True,2013-10-04,spotify:track:4jbmgIyjGoXjY01XxatOx6
66214,Clarity,Zedd Featuring Foxes,8,14,27,18,False,2013-10-04,spotify:track:60wwxj6Dd9NJlirf84wr2c
66215,Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,19,0,1,19,True,2013-10-04,spotify:track:2xtIAFJIMkzHGHiCrJ9iwd
66216,Sail,AWOLNATION,20,22,55,20,False,2013-10-04,spotify:track:7ueP5u2qkdZbIPN2YA6LR0
66217,Get Lucky,Daft Punk Featuring Pharrell Williams,2,16,23,21,False,2013-10-04,spotify:track:2Foc5Q5nqNiosCNqttzHof
