,uri,features
26,spotify:track:0aVMdNotlKqTs5eVAomnBw,"{'danceability': 0.768, 'energy': 0.158, 'key': 7, 'loudness': -14.752, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.678, 'instrumentalness': 0.69, 'liveness': 0.0833, 'valence': 0.545, 'tempo': 122.817, 'type': 'audio_features', 'id': '0aVMdNotlKqTs5eVAomnBw', 'uri': 'spotify:track:0aVMdNotlKqTs5eVAomnBw', 'track_href': 'https://api.spotify.com/v1/tracks/0aVMdNotlKqTs5eVAomnBw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0aVMdNotlKqTs5eVAomnBw', 'duration_ms': 167147, 'time_signature': 4}"
27,spotify:track:4Y00xD9HbXDLtf7Wv9685t,"{'danceability': 0.496, 'energy': 0.273, 'key': 9, 'loudness': -13.036, 'mode': 1, 'speechiness': 0.0277, 'acousticness': 0.58, 'instrumentalness': 0.00146, 'liveness': 0.0736, 'valence': 0.566, 'tempo': 87.025, 'type': 'audio_features', 'id': '4Y00xD9HbXDLtf7Wv9685t', 'uri': 'spotify:track:4Y00xD9HbXDLtf7Wv9685t', 'track_href': 'https://api.spotify.com/v1/tracks/4Y00xD9HbXDLtf7Wv9685t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Y00xD9HbXDLtf7Wv9685t', 'duration_ms': 148373, 'time_signature': 4}"
28,spotify:track:79Iwb8D1mlLHzyrTzuA3cw,"{'danceability': 0.286, 'energy': 0.253, 'key': 0, 'loudness': -12.372, 'mode': 1, 'speechiness': 0.0385, 'acousticness': 0.693, 'instrumentalness': 1.19e-05, 'liveness': 0.155, 'valence': 0.329, 'tempo': 178.045, 'type': 'audio_features', 'id': '79Iwb8D1mlLHzyrTzuA3cw', 'uri': 'spotify:track:79Iwb8D1mlLHzyrTzuA3cw', 'track_href': 'https://api.spotify.com/v1/tracks/79Iwb8D1mlLHzyrTzuA3cw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/79Iwb8D1mlLHzyrTzuA3cw', 'duration_ms': 140800, 'time_signature': 3}"
29,spotify:track:07GtDOCxmye5KDWsTSACPk,"{'danceability': 0.489, 'energy': 0.806, 'key': 3, 'loudness': -6.054, 'mode': 1, 'speechiness': 0.0858, 'acousticness': 0.841, 'instrumentalness': 2.96e-05, 'liveness': 0.0687, 'valence': 0.944, 'tempo': 172.269, 'type': 'audio_features', 'id': '07GtDOCxmye5KDWsTSACPk', 'uri': 'spotify:track:07GtDOCxmye5KDWsTSACPk', 'track_href': 'https://api.spotify.com/v1/tracks/07GtDOCxmye5KDWsTSACPk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/07GtDOCxmye5KDWsTSACPk', 'duration_ms': 145267, 'time_signature': 4}"
30,spotify:track:1xVOttVNT27FBTD8iHjOfU,"{'danceability': 0.461, 'energy': 0.466, 'key': 11, 'loudness': -9.627, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.86, 'instrumentalness': 2.76e-05, 'liveness': 0.135, 'valence': 0.251, 'tempo': 128.537, 'type': 'audio_features', 'id': '1xVOttVNT27FBTD8iHjOfU', 'uri': 'spotify:track:1xVOttVNT27FBTD8iHjOfU', 'track_href': 'https://api.spotify.com/v1/tracks/1xVOttVNT27FBTD8iHjOfU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xVOttVNT27FBTD8iHjOfU', 'duration_ms': 132027, 'time_signature': 4}"
31,spotify:track:2qLxtO0iaFGI9x19vU3bDI,"{'danceability': 0.649, 'energy': 0.144, 'key': 4, 'loudness': -13.986, 'mode': 1, 'speechiness': 0.0418, 'acousticness': 0.806, 'instrumentalness': 4.55e-06, 'liveness': 0.105, 'valence': 0.458, 'tempo': 125.74, 'type': 'audio_features', 'id': '2qLxtO0iaFGI9x19vU3bDI', 'uri': 'spotify:track:2qLxtO0iaFGI9x19vU3bDI', 'track_href': 'https://api.spotify.com/v1/tracks/2qLxtO0iaFGI9x19vU3bDI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2qLxtO0iaFGI9x19vU3bDI', 'duration_ms': 183973, 'time_signature': 4}"
32,spotify:track:3K36p8pq3v0vyoRmx3hLNS,"{'danceability': 0.459, 'energy': 0.772, 'key': 7, 'loudness': -10.642, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.736, 'instrumentalness': 0.131, 'liveness': 0.277, 'valence': 0.573, 'tempo': 93.24, 'type': 'audio_features', 'id': '3K36p8pq3v0vyoRmx3hLNS', 'uri': 'spotify:track:3K36p8pq3v0vyoRmx3hLNS', 'track_href': 'https://api.spotify.com/v1/tracks/3K36p8pq3v0vyoRmx3hLNS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3K36p8pq3v0vyoRmx3hLNS', 'duration_ms': 216267, 'time_signature': 4}"
33,spotify:track:5msxn2HUcd83qOsuQW7Kdb,"{'danceability': 0.26, 'energy': 0.312, 'key': 2, 'loudness': -9.614, 'mode': 1, 'speechiness': 0.0303, 'acousticness': 0.939, 'instrumentalness': 3.66e-05, 'liveness': 0.1, 'valence': 0.396, 'tempo': 174.392, 'type': 'audio_features', 'id': '5msxn2HUcd83qOsuQW7Kdb', 'uri': 'spotify:track:5msxn2HUcd83qOsuQW7Kdb', 'track_href': 'https://api.spotify.com/v1/tracks/5msxn2HUcd83qOsuQW7Kdb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5msxn2HUcd83qOsuQW7Kdb', 'duration_ms': 144840, 'time_signature': 3}"
34,spotify:track:1asCFshazteZOYJ6gqv0Fj,"{'danceability': 0.696, 'energy': 0.629, 'key': 9, 'loudness': -10.914, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.647, 'instrumentalness': 2.01e-06, 'liveness': 0.0571, 'valence': 0.965, 'tempo': 86.336, 'type': 'audio_features', 'id': '1asCFshazteZOYJ6gqv0Fj', 'uri': 'spotify:track:1asCFshazteZOYJ6gqv0Fj', 'track_href': 'https://api.spotify.com/v1/tracks/1asCFshazteZOYJ6gqv0Fj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1asCFshazteZOYJ6gqv0Fj', 'duration_ms': 125067, 'time_signature': 4}"
35,spotify:track:0SsYlkXxZ5vkWOTsKxMfMz,"{'danceability': 0.404, 'energy': 0.193, 'key': 11, 'loudness': -12.501, 'mode': 1, 'speechiness': 0.0305, 'acousticness': 0.794, 'instrumentalness': 0.000296, 'liveness': 0.103, 'valence': 0.273, 'tempo': 77.026, 'type': 'audio_features', 'id': '0SsYlkXxZ5vkWOTsKxMfMz', 'uri': 'spotify:track:0SsYlkXxZ5vkWOTsKxMfMz', 'track_href': 'https://api.spotify.com/v1/tracks/0SsYlkXxZ5vkWOTsKxMfMz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0SsYlkXxZ5vkWOTsKxMfMz', 'duration_ms': 134040, 'time_signature': 4}"
36,spotify:track:3iYPe12BAZCKoqeQkloxGJ,"{'danceability': 0.789, 'energy': 0.642, 'key': 5, 'loudness': -16.088, 'mode': 1, 'speechiness': 0.0695, 'acousticness': 0.716, 'instrumentalness': 2.08e-06, 'liveness': 0.108, 'valence': 0.943, 'tempo': 139.462, 'type': 'audio_features', 'id': '3iYPe12BAZCKoqeQkloxGJ', 'uri': 'spotify:track:3iYPe12BAZCKoqeQkloxGJ', 'track_href': 'https://api.spotify.com/v1/tracks/3iYPe12BAZCKoqeQkloxGJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3iYPe12BAZCKoqeQkloxGJ', 'duration_ms': 134053, 'time_signature': 4}"
37,spotify:track:4kbV9t3FO8op15IrpQm5Mz,"{'danceability': 0.519, 'energy': 0.502, 'key': 4, 'loudness': -6.289, 'mode': 0, 'speechiness': 0.274, 'acousticness': 0.719, 'instrumentalness': 0, 'liveness': 0.226, 'valence': 0.759, 'tempo': 76.545, 'type': 'audio_features', 'id': '4kbV9t3FO8op15IrpQm5Mz', 'uri': 'spotify:track:4kbV9t3FO8op15IrpQm5Mz', 'track_href': 'https://api.spotify.com/v1/tracks/4kbV9t3FO8op15IrpQm5Mz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4kbV9t3FO8op15IrpQm5Mz', 'duration_ms': 150213, 'time_signature': 4}"
38,spotify:track:0AzETg7Vecim0WSOp6PyDb,"{'danceability': 0.646, 'energy': 0.618, 'key': 4, 'loudness': -6.978, 'mode': 1, 'speechiness': 0.0339, 'acousticness': 0.767, 'instrumentalness': 1.33e-06, 'liveness': 0.304, 'valence': 0.773, 'tempo': 80.189, 'type': 'audio_features', 'id': '0AzETg7Vecim0WSOp6PyDb', 'uri': 'spotify:track:0AzETg7Vecim0WSOp6PyDb', 'track_href': 'https://api.spotify.com/v1/tracks/0AzETg7Vecim0WSOp6PyDb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0AzETg7Vecim0WSOp6PyDb', 'duration_ms': 152427, 'time_signature': 4}"
39,spotify:track:4MbHwmdaADODyMQe4NlH3i,"{'danceability': 0.731, 'energy': 0.537, 'key': 11, 'loudness': -7.815, 'mode': 1, 'speechiness': 0.0319, 'acousticness': 0.811, 'instrumentalness': 0, 'liveness': 0.139, 'valence': 0.892, 'tempo': 127.832, 'type': 'audio_features', 'id': '4MbHwmdaADODyMQe4NlH3i', 'uri': 'spotify:track:4MbHwmdaADODyMQe4NlH3i', 'track_href': 'https://api.spotify.com/v1/tracks/4MbHwmdaADODyMQe4NlH3i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4MbHwmdaADODyMQe4NlH3i', 'duration_ms': 119093, 'time_signature': 4}"
